Provinsi,Narkotika dan ,Penipuan,Penggelapan,Korupsi
,Psikotropika,,,
ACEH,1544,674,643,21
SUMATERA UTARA,5907,2434,2831,32
SUMATERA BARAT,592,967,910,4
RIAU,1173,323,624,19
JAMBI,712,942,905,18
SUMATERA SELATAN,1768,1127,1237,12
BENGKULU,192,365,342,21
LAMPUNG,1744,710,707,27
KEP. BANGKA BELITUNG,224,108,80,2
KEP. RIAU,400,404,288,11
DKI JAKARTA,7214,4236,1921,12
JAWA BARAT,1090,3345,1429,19
JAWA TENGAH,1243,785,726,29
DI YOGYAKARTA,290,510,296,2
JAWA TIMUR,3405,2602,981,56
BANTEN,389,421,193,11
BALI,665,203,235,13
NUSA TENGGARA BARAT,227,385,316,19
NUSA TENGGARA TIMUR,2,486,274,6
KALIMANTAN BARAT,490,223,446,16
KALIMANTAN TENGAH,474,73,160,21
KALIMANTAN SELATAN,1211,261,275,18
KALIMANTAN TIMUR,2928,357,491,28
SULAWESI UTARA,111,691,576,8
SULAWESI TENGAH,259,667,662,10
SULAWESI SELATAN,717,2831,1241,26
SULAWESI TENGGARA,65,149,70,12
GORONTALO,38,302,239,4
SULAWESI BARAT,120,173,134,3
MALUKU,73,219,98,6
MALUKU UTARA,63,18,22,7
PAPUA BARAT,41,154,103,3
PAPUA,41,273,216,9
